Resultado da quantidade de Emojis
('😂', 537) : b'\\U0001f602'
('❤', 243) : b'\\u2764'
('👌', 145) : b'\\U0001f44c'
('💙', 113) : b'\\U0001f499'
('🤔', 103) : b'\\U0001f914'
('🌚', 83) : b'\\U0001f31a'
('👀', 82) : b'\\U0001f440'
('👍', 68) : b'\\U0001f44d'
('👏', 68) : b'\\U0001f44f'
('😍', 56) : b'\\U0001f60d'
('😱', 53) : b'\\U0001f631'
('😅', 49) : b'\\U0001f605'
('🙃', 47) : b'\\U0001f643'
('😊', 47) : b'\\U0001f60a'
('😔', 43) : b'\\U0001f614'
('🗿', 42) : b'\\U0001f5ff'
('😭', 39) : b'\\U0001f62d'
('🙄', 39) : b'\\U0001f644'
('\U0001f923', 35) : b'\\U0001f923'
('🔝', 35) : b'\\U0001f51d'
('😪', 34) : b'\\U0001f62a'
('✌', 29) : b'\\u270c'
('😢', 29) : b'\\U0001f622'
('😑', 27) : b'\\U0001f611'
('💔', 26) : b'\\U0001f494'
('💜', 26) : b'\\U0001f49c'
('😕', 25) : b'\\U0001f615'
('😉', 24) : b'\\U0001f609'
('😁', 24) : b'\\U0001f601'
('🙏', 24) : b'\\U0001f64f'
('😞', 23) : b'\\U0001f61e'
('😒', 21) : b'\\U0001f612'
('🙆', 21) : b'\\U0001f646'
('☺', 20) : b'\\u263a'
('😏', 19) : b'\\U0001f60f'
('👆', 18) : b'\\U0001f446'
('🗣', 18) : b'\\U0001f5e3'
('🌸', 17) : b'\\U0001f338'
('🌝', 16) : b'\\U0001f31d'
('🙌', 16) : b'\\U0001f64c'
('💻', 16) : b'\\U0001f4bb'
('😶', 13) : b'\\U0001f636'
('😛', 12) : b'\\U0001f61b'
('⛲', 12) : b'\\u26f2'
('🙂', 12) : b'\\U0001f642'
('⭕', 12) : b'\\u2b55'
('💁', 12) : b'\\U0001f481'
('🍕', 12) : b'\\U0001f355'
('✨', 12) : b'\\u2728'
('♂', 11) : b'\\u2642'
('😬', 11) : b'\\U0001f62c'
('😨', 11) : b'\\U0001f628'
('😌', 11) : b'\\U0001f60c'
('🕶', 11) : b'\\U0001f576'
('😰', 10) : b'\\U0001f630'
('😩', 10) : b'\\U0001f629'
('😎', 10) : b'\\U0001f60e'
('😤', 10) : b'\\U0001f624'
('🐥', 10) : b'\\U0001f425'
('♥', 9) : b'\\u2665'
('❄', 9) : b'\\u2744'
('🍠', 9) : b'\\U0001f360'
('🤗', 8) : b'\\U0001f917'
('😫', 8) : b'\\U0001f62b'
('😡', 8) : b'\\U0001f621'
('🙈', 8) : b'\\U0001f648'
('🙉', 8) : b'\\U0001f649'
('🍝', 7) : b'\\U0001f35d'
('💚', 7) : b'\\U0001f49a'
('🍷', 7) : b'\\U0001f377'
('🐘', 7) : b'\\U0001f418'
('😐', 7) : b'\\U0001f610'
('😴', 6) : b'\\U0001f634'
('😲', 6) : b'\\U0001f632'
('😆', 6) : b'\\U0001f606'
('😈', 6) : b'\\U0001f608'
('⛄', 6) : b'\\u26c4'
('☹', 6) : b'\\u2639'
('💥', 6) : b'\\U0001f4a5'
('💕', 6) : b'\\U0001f495'
('👹', 6) : b'\\U0001f479'
('💛', 6) : b'\\U0001f49b'
('🍾', 5) : b'\\U0001f37e'
('🤕', 5) : b'\\U0001f915'
('\U0001f919', 5) : b'\\U0001f919'
('😥', 5) : b'\\U0001f625'
('🐍', 5) : b'\\U0001f40d'
('🍸', 5) : b'\\U0001f378'
('🎤', 5) : b'\\U0001f3a4'
('✋', 5) : b'\\u270b'
('💸', 5) : b'\\U0001f4b8'
('👊', 5) : b'\\U0001f44a'
('🍽', 5) : b'\\U0001f37d'
('🙊', 5) : b'\\U0001f64a'
('🍴', 5) : b'\\U0001f374'
('\U0001f937', 4) : b'\\U0001f937'
('🙁', 4) : b'\\U0001f641'
('🐙', 4) : b'\\U0001f419'
('👈', 4) : b'\\U0001f448'
('🌟', 4) : b'\\U0001f31f'
('😀', 4) : b'\\U0001f600'
('🍩', 4) : b'\\U0001f369'
('🦄', 4) : b'\\U0001f984'
('🍚', 4) : b'\\U0001f35a'
('🔍', 3) : b'\\U0001f50d'
('😓', 3) : b'\\U0001f613'
('📜', 3) : b'\\U0001f4dc'
('💀', 3) : b'\\U0001f480'
('😄', 3) : b'\\U0001f604'
('🎉', 3) : b'\\U0001f389'
('📄', 3) : b'\\U0001f4c4'
('😇', 3) : b'\\U0001f607'
('💪', 3) : b'\\U0001f4aa'
('♀', 3) : b'\\u2640'
('🌈', 3) : b'\\U0001f308'
('🌯', 3) : b'\\U0001f32f'
('❣', 3) : b'\\u2763'
('😝', 3) : b'\\U0001f61d'
('🎶', 3) : b'\\U0001f3b6'
('☝', 3) : b'\\u261d'
('🍯', 3) : b'\\U0001f36f'
('😋', 3) : b'\\U0001f60b'
('😣', 3) : b'\\U0001f623'
('🐣', 3) : b'\\U0001f423'
('👁', 3) : b'\\U0001f441'
('😖', 3) : b'\\U0001f616'
('😳', 3) : b'\\U0001f633'
('👉', 3) : b'\\U0001f449'
('🔫', 3) : b'\\U0001f52b'
('🍟', 3) : b'\\U0001f35f'
('⚖', 3) : b'\\u2696'
('💖', 3) : b'\\U0001f496'
('\U0001f927', 2) : b'\\U0001f927'
('🍌', 2) : b'\\U0001f34c'
('📗', 2) : b'\\U0001f4d7'
('🎊', 2) : b'\\U0001f38a'
('🗨', 2) : b'\\U0001f5e8'
('📞', 2) : b'\\U0001f4de'
('😵', 2) : b'\\U0001f635'
('⚠', 2) : b'\\u26a0'
('💤', 2) : b'\\U0001f4a4'
('🌑', 2) : b'\\U0001f311'
('🚨', 2) : b'\\U0001f6a8'
('☢', 2) : b'\\u2622'
('💞', 2) : b'\\U0001f49e'
('🕴', 2) : b'\\U0001f574'
('\U0001f93c', 2) : b'\\U0001f93c'
('🎼', 2) : b'\\U0001f3bc'
('🎆', 2) : b'\\U0001f386'
('😘', 2) : b'\\U0001f618'
('🤓', 2) : b'\\U0001f913'
('😗', 2) : b'\\U0001f617'
('💩', 2) : b'\\U0001f4a9'
('🌏', 2) : b'\\U0001f30f'
('🌞', 2) : b'\\U0001f31e'
('🍗', 2) : b'\\U0001f357'
('🎈', 2) : b'\\U0001f388'
('👋', 2) : b'\\U0001f44b'
('🗓', 2) : b'\\U0001f5d3'
('🐔', 2) : b'\\U0001f414'
('👤', 2) : b'\\U0001f464'
('🙀', 2) : b'\\U0001f640'
('❎', 2) : b'\\u274e'
('😃', 2) : b'\\U0001f603'
('👻', 1) : b'\\U0001f47b'
('🍹', 1) : b'\\U0001f379'
('🃏', 1) : b'\\U0001f0cf'
('📘', 1) : b'\\U0001f4d8'
('\U0001f5a4', 1) : b'\\U0001f5a4'
('🙎', 1) : b'\\U0001f64e'
('👽', 1) : b'\\U0001f47d'
('🖕', 1) : b'\\U0001f595'
('🎭', 1) : b'\\U0001f3ad'
('🍎', 1) : b'\\U0001f34e'
('🎅', 1) : b'\\U0001f385'
('🎰', 1) : b'\\U0001f3b0'
('😙', 1) : b'\\U0001f619'
('🐤', 1) : b'\\U0001f424'
('👺', 1) : b'\\U0001f47a'
('\U0001f91c', 1) : b'\\U0001f91c'
('📕', 1) : b'\\U0001f4d5'
('💆', 1) : b'\\U0001f486'
('⚔', 1) : b'\\u2694'
('🚀', 1) : b'\\U0001f680'
('🌔', 1) : b'\\U0001f314'
('🆒', 1) : b'\\U0001f192'
('👶', 1) : b'\\U0001f476'
('🐼', 1) : b'\\U0001f43c'
('🍅', 1) : b'\\U0001f345'
('🐻', 1) : b'\\U0001f43b'
('\U0001f91e', 1) : b'\\U0001f91e'
('📃', 1) : b'\\U0001f4c3'
('🍢', 1) : b'\\U0001f362'
('⏳', 1) : b'\\u23f3'
('👦', 1) : b'\\U0001f466'
('®', 1) : b'\\xae'
('🔪', 1) : b'\\U0001f52a'
('😻', 1) : b'\\U0001f63b'
('🤖', 1) : b'\\U0001f916'
('👿', 1) : b'\\U0001f47f'
('🔐', 1) : b'\\U0001f510'
('🍔', 1) : b'\\U0001f354'
('🔄', 1) : b'\\U0001f504'
('😦', 1) : b'\\U0001f626'
('🌊', 1) : b'\\U0001f30a'
('🍑', 1) : b'\\U0001f351'
('🦃', 1) : b'\\U0001f983'
('🌮', 1) : b'\\U0001f32e'
('🐇', 1) : b'\\U0001f407'
('\U0001f934', 1) : b'\\U0001f934'
('🍫', 1) : b'\\U0001f36b'
('📿', 1) : b'\\U0001f4ff'
('🌓', 1) : b'\\U0001f313'
('\U0001f924', 1) : b'\\U0001f924'
('⭐', 1) : b'\\u2b50'
('©', 1) : b'\\xa9'
('😟', 1) : b'\\U0001f61f'
('🆗', 1) : b'\\U0001f197'
('🌼', 1) : b'\\U0001f33c'
('🌒', 1) : b'\\U0001f312'
('😮', 1) : b'\\U0001f62e'
('💅', 1) : b'\\U0001f485'
('💨', 1) : b'\\U0001f4a8'
('\U0001f987', 1) : b'\\U0001f987'
('🌛', 1) : b'\\U0001f31b'
('💏', 1) : b'\\U0001f48f'
('📍', 1) : b'\\U0001f4cd'
('🍵', 1) : b'\\U0001f375'
('\U0001f921', 1) : b'\\U0001f921'
('🙋', 1) : b'\\U0001f64b'
('🐸', 1) : b'\\U0001f438'
('💋', 1) : b'\\U0001f48b'
('🍙', 1) : b'\\U0001f359'
('🐋', 1) : b'\\U0001f40b'
